[INFO ] 48-2019-12-17 10:12:24,556 method:com.crxl.xllxj.module.core.start.StartCrxlAnswer.main(StartCrxlAnswer.java:48) - 加载class路径配置文件
[INFO ] 13-2019-12-17 10:12:24,606 method:org.xlcr.mongo.config.MongodbConfigLoad.load(MongodbConfigLoad.java:13) - 加载mongodb 配置文件：{"maxWaitTime":"7000","autoConnectRetry":"true","slaveOk":"false","socketTimeout":"15000","connectionsPerHost":"1000","username":"","writeNumber":"1","threadsAllowedToBlockForConnectionMultiplier":"50","fsync":"true","connectTimeout":"10000","database":"xlcr_answer_test","password":"","socketKeepAlive":"true","host":"192.168.1.195:20001","writeTimeout":"1000"}
[INFO ] 30-2019-12-17 10:12:24,634 method:org.xlcr.mongo.config.MongodbConfigLoad.load(MongodbConfigLoad.java:30) - 数据库连接地址：[{"ip":"192.168.1.195","port":20001}]
[INFO ] 46-2019-12-17 10:12:24,636 method:org.xlcr.mongo.config.MongoTemplateFactory.intiDataSource(MongoTemplateFactory.java:46) - 没有设置mongodb用户名验证[{"ip":"192.168.1.195","port":20001}]
[INFO ] 22-2019-12-17 10:12:24,957 method:com.crxl.xllxj.module.core.config.ServerConfigLoad.load(ServerConfigLoad.java:22) - 加载 server.property 配置文件：{"ssl_open":"false","ssl_filename":"2390924__edisonluorui.com.jks","ssl_type":"JKS","ssl_password":"2Gg4aGXu","main_server_address":"","jetty_port":"8882","server_port":"9998"}
[INFO ] 63-2019-12-17 10:12:24,957 method:com.crxl.xllxj.module.core.start.StartCrxlAnswer.main(StartCrxlAnswer.java:63) - log4j 加载完毕，开始启动服务器
[INFO ] 68-2019-12-17 10:12:24,991 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_16---->save_6
[INFO ] 68-2019-12-17 10:12:24,991 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_0---->save_0
[INFO ] 68-2019-12-17 10:12:24,991 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_15---->save_5
[INFO ] 68-2019-12-17 10:12:24,991 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_21---->save_1
[INFO ] 68-2019-12-17 10:12:24,991 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_8---->save_8
[INFO ] 68-2019-12-17 10:12:24,991 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_2---->save_2
[INFO ] 68-2019-12-17 10:12:24,991 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_19---->save_9
[INFO ] 68-2019-12-17 10:12:24,991 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_49---->save_9
[INFO ] 68-2019-12-17 10:12:24,992 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_18---->save_8
[INFO ] 68-2019-12-17 10:12:24,992 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_24---->save_4
[INFO ] 68-2019-12-17 10:12:24,992 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_47---->save_7
[INFO ] 68-2019-12-17 10:12:24,993 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_9---->save_9
[INFO ] 68-2019-12-17 10:12:24,993 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_14---->save_4
[INFO ] 68-2019-12-17 10:12:24,993 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_26---->save_6
[INFO ] 68-2019-12-17 10:12:24,993 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_25---->save_5
[INFO ] 68-2019-12-17 10:12:24,993 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_6---->save_6
[INFO ] 68-2019-12-17 10:12:24,993 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_45---->save_5
[INFO ] 68-2019-12-17 10:12:24,993 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_48---->save_8
[INFO ] 68-2019-12-17 10:12:24,993 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_35---->save_5
[INFO ] 68-2019-12-17 10:12:24,993 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_36---->save_6
[INFO ] 68-2019-12-17 10:12:24,993 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_39---->save_9
[INFO ] 68-2019-12-17 10:12:24,994 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_11---->save_1
[INFO ] 68-2019-12-17 10:12:24,994 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_12---->save_2
[INFO ] 68-2019-12-17 10:12:24,994 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_4---->save_4
[INFO ] 68-2019-12-17 10:12:24,994 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_13---->save_3
[INFO ] 68-2019-12-17 10:12:24,994 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_43---->save_3
[INFO ] 68-2019-12-17 10:12:24,994 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_23---->save_3
[INFO ] 68-2019-12-17 10:12:24,994 method:com.crxl.xllxj.module.core.thread.TaskManager.testMappingSaveThreadInfo(TaskManager.java:68) - main_7---->save_7
